k,0.500,0.250,0.100,0.050,0.025,0.010,0.005,0.001
-0.90,0.046,0.067,0.094,0.115,0.136,0.165,0.187,0.239
-0.90,0.339,0.471,0.641,0.771,0.905,1.086,1.226,1.559
-0.50,0.049,0.072,0.101,0.124,0.147,0.179,0.204,0.264
-0.50,0.356,0.499,0.685,0.830,0.978,1.180,1.336,1.707
-0.20,0.053,0.078,0.111,0.137,0.164,0.200,0.228,0.294
-0.20,0.376,0.534,0.741,0.903,1.069,1.296,1.471,1.893
-0.10,0.055,0.081,0.116,0.144,0.172,0.210,0.240,0.310
-0.10,0.386,0.550,0.766,0.935,1.110,1.348,1.532,1.966
0.00,0.057,0.086,0.124,0.153,0.183,0.224,0.255,0.330
0.00,0.397,0.569,0.796,0.974,1.158,1.409,1.603,2.064
0.10,0.059,0.089,0.129,0.160,0.192,0.236,0.270,0.351
0.10,0.410,0.591,0.831,1.020,1.215,1.481,1.687,2.176
0.20,0.062,0.094,0.137,0.171,0.206,0.254,0.291,0.380
0.20,0.426,0.617,0.873,1.074,1.283,1.567,1.788,2.314
0.30,0.065,0.100,0.147,0.184,0.223,0.276,0.317,0.415
0.30,0.445,0.649,0.924,1.140,1.365,1.672,1.909,2.475
0.40,0.069,0.107,0.159,0.201,0.244,0.303,0.349,0.458
0.40,0.468,0.688,0.985,1.221,1.465,1.799,2.058,2.674
0.50,0.074,0.116,0.174,0.222,0.271,0.338,0.390,0.513
0.50,0.496,0.735,1.061,1.321,1.590,1.958,2.243,2.922
